"tmin","v"
1,11
2,11
3,11
4,11
5,11
6,12
7,14
8,15
9,16
10,15
11,16
12,16
13,16
14,14
15,17
16,18
17,18
18,18
19,16
20,14
21,13
22,13
23,12
24,10
25,11
26,12
27,12
28,12
29,12
30,13
31,13
32,14
33,15
34,15
35,15
36,14
37,13
38,13
39,14
40,14
41,16
42,14
43,14
44,13
45,13
46,13
47,13
48,14
49,15
50,13
51,13
52,14
53,13
54,16
55,15
56,14
57,15
58,15
59,16
60,16
61,16
62,17
63,18
64,18
65,17
66,17
67,16
68,16
69,16
70,15
71,14
72,15
73,14
74,12
75,12
76,13
77,14
78,13
79,12
80,13
81,11
82,10
83,11
84,10
85,10
86,10
87,10
88,10
89,11
90,11
91,11
92,10
93,11
94,12
95,10
96,9
97,9
98,9
99,10
100,11
101,10
102,11
103,11
104,10
105,9
106,9
107,10
108,10
109,11
110,10
111,10
112,10
113,9
114,10
115,9
116,10
117,8
118,8
119,9
120,9
121,9
122,8
123,7
124,8
125,8
126,8
127,7
128,7
129,7
130,6
131,7
132,8
133,8
134,9
135,10
136,11
137,11
138,9
139,8
140,7
141,7
142,7
143,7
144,7
145,7
146,7
147,8
148,7
149,6
150,6
151,6
152,5
153,5
154,5
155,5
156,4
157,4
158,3
159,3
160,3
161,2
162,1
163,2
164,2
165,3
166,3
167,2
168,3
169,3
170,3
171,2
172,3
173,4
174,4
175,4
176,3
177,3
178,2
179,1
180,1
181,2
182,3
183,3
184,3
185,3
186,3
187,3
188,2
189,2
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,2
205,3
206,3
207,3
208,3
209,4
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,2
218,3
219,3
220,2
221,2
222,2
223,2
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,2
237,2
238,2
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,2
250,1
251,2
252,2
253,2
254,2
255,2
256,3
257,4
258,3
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,2
275,2
276,2
277,2
278,3
279,3
280,3
281,3
282,3
283,4
284,3
285,3
286,5
287,5
288,6
289,6
290,6
291,5
292,6
293,6
294,6
295,6
296,6
297,5
298,5
299,5
300,5
301,5
302,5
303,6
304,6
305,6
306,6
307,7
308,7
309,6
310,6
311,7
312,8
313,9
314,9
315,7
316,8
317,8
318,8
319,8
320,7
321,6
322,6
323,8
324,8
325,8
326,7
327,8
328,8
329,8
330,8
331,8
332,8
333,8
334,7
335,8
336,7
337,7
338,6
339,5
340,5
341,5
342,5
343,5
344,5
345,4
346,4
347,5
348,5
349,5
350,4
351,4
352,3
353,3
354,4
355,5
356,5
357,6
358,6
359,5
360,5
361,6
362,6
363,6
364,6
365,7
366,7
367,7
368,6
369,6
370,7
371,7
372,8
373,8
374,8
375,7
376,8
377,8
378,7
379,7
380,7
381,7
382,7
383,8
384,9
385,9
386,10
387,9
388,8
389,9
390,9
391,10
392,10
393,10
394,9
395,9
396,8
397,8
398,8
399,8
400,7
401,7
402,6
403,6
404,6
405,6
406,8
407,9
408,9
409,11
410,10
411,12
412,11
413,10
414,10
415,9
416,9
417,9
418,9
419,9
420,9
421,9
422,10
423,9
424,8
425,10
426,8
427,8
428,9
429,8
430,8
431,7
432,8
433,8
434,7
435,5
436,6
437,7
438,8
439,9
440,9
441,9
442,9
443,9
444,9
445,10
446,9
447,8
448,8
449,8
450,8
451,8
452,7
453,7
454,7
455,6
456,6
457,6
458,7
459,8
460,9
461,9
462,9
463,10
464,10
465,10
466,11
467,10
468,9
469,8
470,10
471,11
472,11
473,11
474,12
475,11
476,11
477,10
478,10
479,10
480,11
481,12
482,13
483,13
484,12
485,12
486,11
487,12
488,12
489,12
490,13
491,13
492,13
493,13
494,13
495,12
496,11
497,10
498,10
499,11
500,11
501,12
502,12
503,12
504,11
505,10
506,10
507,11
508,13
509,13
510,14
511,13
512,16
513,14
514,13
