iso_a3,name,region,year,population,gdp_per_capita,life_expectancy
afg,Afghanistan,Asia,1950,7752118,1040,31.98
afg,Afghanistan,Asia,1955,8270581,1131,35.13
afg,Afghanistan,Asia,1960,8996351,1213,38.65
afg,Afghanistan,Asia,1965,9938414,1190,42.22
afg,Afghanistan,Asia,1970,11126123,1183,45.78
afg,Afghanistan,Asia,1975,12590286,1211,46.26
afg,Afghanistan,Asia,1980,13248370,1168,43.26
afg,Afghanistan,Asia,1985,11783050,1397,41.61
afg,Afghanistan,Asia,1990,12249114,1038,51.61
afg,Afghanistan,Asia,1995,17099541,881,51.07
afg,Afghanistan,Asia,2000,20093756,972,51.63
afg,Afghanistan,Asia,2005,25070798,1136,53.87
afg,Afghanistan,Asia,2010,28803167,1614,56.2
afg,Afghanistan,Asia,2015,33736494,1748,57.9
alb,Albania,Europe,1950,1263174,1918,54.47
alb,Albania,Europe,1955,1419970,2271,57.33
alb,Albania,Europe,1960,1636056,2792,62.66
alb,Albania,Europe,1965,1896125,3219,66.27
alb,Albania,Europe,1970,2150598,3831,67.39
alb,Albania,Europe,1975,2411229,4328,70.35
alb,Albania,Europe,1980,2681239,4385,72.25
alb,Albania,Europe,1985,2966798,4454,72.98
alb,Albania,Europe,1990,3281454,4557,73.9
alb,Albania,Europe,1995,3106736,4129,74.14
alb,Albania,Europe,2000,3121970,5470,74.43
alb,Albania,Europe,2005,3079179,7462,74.91
alb,Albania,Europe,2010,2940525,9927,76.31
alb,Albania,Europe,2015,2923352,11025,77.56
dza,Algeria,Africa,1950,8872247,4003,46.85
dza,Algeria,Africa,1955,9829719,4387,49.19
dza,Algeria,Africa,1960,11124888,6517,52.01
dza,Algeria,Africa,1965,12626952,5964,54.89
dza,Algeria,Africa,1970,14550034,7290,57.49
dza,Algeria,Africa,1975,16709099,8198,59.5
dza,Algeria,Africa,1980,19337715,10273,62.13
dza,Algeria,Africa,1985,22565905,11156,68.03
dza,Algeria,Africa,1990,25912367,10237,71
dza,Algeria,Africa,1995,28904298,9295,72.31
dza,Algeria,Africa,2000,31183660,10211,73.87
dza,Algeria,Africa,2005,33288437,12322,75.36
dza,Algeria,Africa,2010,36117637,12870,76.55
dza,Algeria,Africa,2015,39871528,13724,77.28
ago,Angola,Africa,1950,4548023,3180,36.6
ago,Angola,Africa,1955,5116071,3506,39.33
ago,Angola,Africa,1960,5643182,3861,42.39
ago,Angola,Africa,1965,6203299,4964,45.52
ago,Angola,Africa,1970,6776381,5549,48.74
ago,Angola,Africa,1975,7682479,5622,49.54
ago,Angola,Africa,1980,8929900,4591,49.93
ago,Angola,Africa,1985,10609042,4264,50.26
ago,Angola,Africa,1990,12171441,4394,50.21
ago,Angola,Africa,1995,14268994,2967,51.96
ago,Angola,Africa,2000,16440924,3509,53.36
ago,Angola,Africa,2005,19552542,3949,56.45
ago,Angola,Africa,2010,23369131,5895,60.08
ago,Angola,Africa,2015,27859305,6231,64
atg,Antigua and Barbuda,Americas,1950,46303,3474,58.2
atg,Antigua and Barbuda,Americas,1955,52897,3918,60.48
atg,Antigua and Barbuda,Americas,1960,55339,4419,62.91
atg,Antigua and Barbuda,Americas,1965,60781,4983,65.02
atg,Antigua and Barbuda,Americas,1970,67098,5618,66.84
atg,Antigua and Barbuda,Americas,1975,71609,6228,68.42
atg,Antigua and Barbuda,Americas,1980,73442,7852,70.57
atg,Antigua and Barbuda,Americas,1985,69782,10906,72.48
atg,Antigua and Barbuda,Americas,1990,66696,16380,73.76
atg,Antigua and Barbuda,Americas,1995,73619,16476,74.37
atg,Antigua and Barbuda,Americas,2000,83584,18800,74.74
atg,Antigua and Barbuda,Americas,2005,89253,20135,75.94
atg,Antigua and Barbuda,Americas,2010,94661,19148,76.85
atg,Antigua and Barbuda,Americas,2015,99923,20114,77.22
arg,Argentina,Americas,1950,17150336,8317,60.62
arg,Argentina,Americas,1955,18929346,8583,62.86
arg,Argentina,Americas,1960,20619075,9025,64.06
arg,Argentina,Americas,1965,22283390,10314,64.46
arg,Argentina,Americas,1970,23973058,11861,65.36
arg,Argentina,Americas,1975,26066975,12797,67.35
arg,Argentina,Americas,1980,28105888,13500,69.85
arg,Argentina,Americas,1985,30388783,11559,71.33
arg,Argentina,Americas,1990,32729739,10816,72.14
arg,Argentina,Americas,1995,34994814,13894,73.12
arg,Argentina,Americas,2000,37057452,14900,74.21
arg,Argentina,Americas,2005,39145488,15519,75.15
arg,Argentina,Americas,2010,41223889,18712,75.82
arg,Argentina,Americas,2015,43417765,19101,76.54
arm,Armenia,Europe,1950,1353510,1864,58.66
arm,Armenia,Europe,1955,1563505,2143,60.25
arm,Armenia,Europe,1960,1874120,2517,62.01
arm,Armenia,Europe,1965,2211316,2948,63.83
arm,Armenia,Europe,1970,2525065,3537,65.46
arm,Armenia,Europe,1975,2832757,3816,67.98
arm,Armenia,Europe,1980,3099751,3821,69.63
arm,Armenia,Europe,1985,3335935,3811,70.69
arm,Armenia,Europe,1990,3538165,3742,70.24
arm,Armenia,Europe,1995,3217342,2173,69.26
arm,Armenia,Europe,2000,3069588,2925,71.85
arm,Armenia,Europe,2005,2981259,5357,72.5
arm,Armenia,Europe,2010,2877311,6703,73.34
arm,Armenia,Europe,2015,2916950,8180,75.38
aus,Australia,Asia,1950,8177342,12067,69.33
aus,Australia,Asia,1955,9210908,13077,70.51
aus,Australia,Asia,1960,10289707,14339,71.25
aus,Australia,Asia,1965,11363313,16593,71.36
aus,Australia,Asia,1970,12842907,19709,71.21
aus,Australia,Asia,1975,13831206,21695,72.72
aus,Australia,Asia,1980,14649114,23857,74.58
aus,Australia,Asia,1985,15729643,25856,75.67
aus,Australia,Asia,1990,17041431,28583,77.04
aus,Australia,Asia,1995,18076743,30379,78.31
aus,Australia,Asia,2000,19065837,35281,79.7
aus,Australia,Asia,2005,20238903,38855,81.07
aus,Australia,Asia,2010,22120064,41385,81.98
aus,Australia,Asia,2015,23799556,43832,82.56
aut,Austria,Europe,1950,6936439,6939,64.83
aut,Austria,Europe,1955,6953406,9404,67.54
aut,Austria,Europe,1960,7070766,12073,68.72
aut,Austria,Europe,1965,7305158,14275,69.89
aut,Austria,Europe,1970,7516239,17953,70.04
aut,Austria,Europe,1975,7637689,21479,71.24
aut,Austria,Europe,1980,7609752,25407,72.51
aut,Austria,Europe,1985,7614868,27273,73.87
aut,Austria,Europe,1990,7723949,31265,75.51
aut,Austria,Europe,1995,7990121,33709,76.68
aut,Austria,Europe,2000,8069276,38812,78.12
aut,Austria,Europe,2005,8253650,41155,79.48
aut,Austria,Europe,2010,8409949,43175,80.5
aut,Austria,Europe,2015,8678657,44075,81.4
aze,Azerbaijan,Europe,1950,2927921,3638,54.45
aze,Azerbaijan,Europe,1955,3329387,4254,56.03
aze,Azerbaijan,Europe,1960,3895396,5081,57.79
aze,Azerbaijan,Europe,1965,4592610,6012,59.59
aze,Azerbaijan,Europe,1970,5180025,7285,61.21
aze,Azerbaijan,Europe,1975,5674137,7994,64.35
aze,Azerbaijan,Europe,1980,6150738,8228,65.47
aze,Azerbaijan,Europe,1985,6666455,8435,65.9
aze,Azerbaijan,Europe,1990,7242770,8513,66.22
aze,Azerbaijan,Europe,1995,7775426,3320,64.89
aze,Azerbaijan,Europe,2000,8122741,4459,66.56
aze,Azerbaijan,Europe,2005,8538606,8052,67.64
aze,Azerbaijan,Europe,2010,9032457,15950,69.13
aze,Azerbaijan,Europe,2015,9617484,16699,71.79
bhs,Bahamas,Americas,1950,79085,10324,58.38
bhs,Bahamas,Americas,1955,88617,12373,60.17
bhs,Bahamas,Americas,1960,109528,14827,61.92
bhs,Bahamas,Americas,1965,140054,19156,63.46
bhs,Bahamas,Americas,1970,169354,21211,64.82
bhs,Bahamas,Americas,1975,188882,14320,66.75
bhs,Bahamas,Americas,1980,210661,22748,68.05
bhs,Bahamas,Americas,1985,234687,24155,69.18
bhs,Bahamas,Americas,1990,256336,24281,70.54
bhs,Bahamas,Americas,1995,280150,22111,70.57
bhs,Bahamas,Americas,2000,297890,25847,71.28
bhs,Bahamas,Americas,2005,329249,25385,72.98
bhs,Bahamas,Americas,2010,360832,22895,73.79
bhs,Bahamas,Americas,2015,386838,21670,73.63
bhr,Bahrain,Asia,1950,115611,16047,41.84
bhr,Bahrain,Asia,1955,133585,19612,46.32
bhr,Bahrain,Asia,1960,162427,22613,52.83
bhr,Bahrain,Asia,1965,187431,25754,59.53
bhr,Bahrain,Asia,1970,212605,31354,64.75
bhr,Bahrain,Asia,1975,266543,33650,67.79
bhr,Bahrain,Asia,1980,359888,45199,70.36
bhr,Bahrain,Asia,1985,419430,32285,70.85
bhr,Bahrain,Asia,1990,495931,35578,69.76
bhr,Bahrain,Asia,1995,563699,43464,70.32
bhr,Bahrain,Asia,2000,664614,45537,71.67
bhr,Bahrain,Asia,2005,889168,43774,73.61
bhr,Bahrain,Asia,2010,1240862,41107,76.03
bhr,Bahrain,Asia,2015,1371855,44508,76.79
bgd,Bangladesh,Asia,1950,37894681,1032,40.28
bgd,Bangladesh,Asia,1955,42121524,977,41.67
bgd,Bangladesh,Asia,1960,48199747,1055,43.83
bgd,Bangladesh,Asia,1965,55834038,1185,46.07
bgd,Bangladesh,Asia,1970,65047770,1236,43.97
bgd,Bangladesh,Asia,1975,71305923,1045,52.41
bgd,Bangladesh,Asia,1980,81470860,1089,53.82
bgd,Bangladesh,Asia,1985,93199865,1154,55.26
bgd,Bangladesh,Asia,1990,106188642,1288,58.11
bgd,Bangladesh,Asia,1995,118706871,1438,61.73
bgd,Bangladesh,Asia,2000,131581243,1642,65.48
bgd,Bangladesh,Asia,2005,143431101,1930,68.04
bgd,Bangladesh,Asia,2010,152149102,2443,70.39
bgd,Bangladesh,Asia,2015,161200886,3133,72.41
brb,Barbados,Americas,1950,210992,3027,58.96
brb,Barbados,Americas,1955,227073,3887,61.7
brb,Barbados,Americas,1960,230939,4992,64.5
brb,Barbados,Americas,1965,235374,6405,67.04
brb,Barbados,Americas,1970,238848,9165,69.28
brb,Barbados,Americas,1975,246034,10392,70.95
brb,Barbados,Americas,1980,252194,13145,72.64
brb,Barbados,Americas,1985,255924,12380,73.24
brb,Barbados,Americas,1990,260374,13298,73.54
brb,Barbados,Americas,1995,264959,12423,73.71
brb,Barbados,Americas,2000,269847,14440,74.87
brb,Barbados,Americas,2005,274009,15074,75.9
brb,Barbados,Americas,2010,279569,15346,76.68
brb,Barbados,Americas,2015,284217,15390,76.59
blr,Belarus,Europe,1950,7745002,2859,63.99
blr,Belarus,Europe,1955,7803537,3325,65.84
blr,Belarus,Europe,1960,8184631,3951,70.58
blr,Belarus,Europe,1965,8568454,4643,71.65
blr,Belarus,Europe,1970,8977639,5590,70.89
blr,Belarus,Europe,1975,9316955,6292,71.16
blr,Belarus,Europe,1980,9633888,6970,70.45
blr,Belarus,Europe,1985,9966154,7690,70.46
blr,Belarus,Europe,1990,10216846,8354,70.56
blr,Belarus,Europe,1995,10142308,5452,68.29
blr,Belarus,Europe,2000,9933609,7563,68.46
blr,Belarus,Europe,2005,9621543,11213,68.88
blr,Belarus,Europe,2010,9473071,16235,70.43
blr,Belarus,Europe,2015,9485772,17230,73.29
bel,Belgium,Europe,1950,8637519,10295,66.34
bel,Belgium,Europe,1955,8887274,11709,68.56
bel,Belgium,Europe,1960,9167365,12585,69.63
bel,Belgium,Europe,1965,9443939,15328,70.56
bel,Belgium,Europe,1970,9632180,18860,70.95
bel,Belgium,Europe,1975,9771586,22141,72.05
bel,Belgium,Europe,1980,9868995,25777,73.22
bel,Belgium,Europe,1985,9916578,26713,74.48
bel,Belgium,Europe,1990,10006544,30701,75.95
bel,Belgium,Europe,1995,10186305,32670,76.86
bel,Belgium,Europe,2000,10282033,37253,77.8
bel,Belgium,Europe,2005,10546886,39872,79.11
bel,Belgium,Europe,2010,10938739,41087,79.98
bel,Belgium,Europe,2015,11287940,41723,80.86
blz,Belize,Americas,1950,68919,1865,55.41
blz,Belize,Americas,1955,79870,1934,57.96
blz,Belize,Americas,1960,92064,2006,60.72
blz,Belize,Americas,1965,106119,2153,63.64
blz,Belize,Americas,1970,122182,2509,66.47
blz,Belize,Americas,1975,133260,3315,68.21
blz,Belize,Americas,1980,144155,4147,69.3
blz,Belize,Americas,1985,164921,3704,70.97
blz,Belize,Americas,1990,187552,5165,71.65
blz,Belize,Americas,1995,206963,6207,70.69
blz,Belize,Americas,2000,247315,6959,68.87
blz,Belize,Americas,2005,283277,7872,70.02
blz,Belize,Americas,2010,321608,7875,71.38
blz,Belize,Americas,2015,359288,8061,71.93
ben,Benin,Africa,1950,2255226,1289,35.68
ben,Benin,Africa,1955,2303587,1180,38.34
